name,reviews,types,type,website,category,latitude,longitude,popularity
The Seiko Museum Ginza,816.0,"[
  ""Museum""
]",Museum,https://museum.seiko.co.jp/,general,35.6723942,139.7644252,C
The History Museum of J-Koreans,117.0,"[
  ""Heritage museum"",
  ""Museum"",
  ""Tourist attraction""
]",Heritage museum,http://www.j-koreans.org/,history,35.651544799999996,139.73703129999998,D
Shinjuku Historical Museum,945.0,"[
  ""Local history museum"",
  ""Museum"",
  ""Tourist attraction""
]",Local history museum,http://www.regasu-shinjuku.or.jp/rekihaku/,history,35.6899458,139.7254161,C
Treasure Museum,42.0,"[
  ""Museum"",
  ""Historical landmark""
]",Museum,https://www.meijijingu.or.jp/museum/houmotsuden/,general,35.6799952,139.6979635,E
Shibuya Folk and Literary Shirane Memorial Museum,179.0,"[
  ""Local history museum"",
  ""Tourist attraction""
]",Local history museum,https://shibuya-muse.jp/,history,35.6564347,139.7125067,D
Museum of Maritime Science Curator part,4.0,"[
  ""Science museum""
]",Science museum,http://www.funenokagakukan.or.jp/,stem,35.6201685,139.7721568,E
O Art Museum,276.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.shinagawa-culture.or.jp/o-art/index.html,art,35.620714899999996,139.7292987,D
ESP MUSEUM,110.0,"[
  ""Museum""
]",Museum,http://www.espguitars.co.jp/museum/,general,35.6621381,139.70009199999998,D
Minato City Local History Museum,598.0,"[
  ""Local history museum"",
  ""Museum""
]",Local history museum,https://www.minato-rekishi.com/,history,35.6391187,139.7267259,C
Meiji Gakuin Historical Museum,4.0,"[
  ""History museum""
]",History museum,http://shiryokan.meijigakuin.jp/,history,35.636625099999996,139.73120799999998,E
Chuo City Local History Museum,39.0,"[
  ""Local history museum""
]",Local history museum,https://www.city.chuo.lg.jp/bunka/kyodoshiryokan/_user_tobun_historical_museum.html,history,35.6736459,139.77527139999998,E
Ueshima Museum,66.0,"[
  ""Modern art museum""
]",Modern art museum,https://ueshima-museum.com/,art,35.6638908,139.70349199999998,D
Meguro History Museum,76.0,"[
  ""Local history museum"",
  ""Tourist attraction""
]",Local history museum,https://www.city.meguro.tokyo.jp/shisetsu/shisetsu/bijutsu/rekishi_shiryokan/megurorekisisiryokan.html,history,35.6390678,139.703104,D
Sen-oku Hakukokan Museum Tokyo,463.0,"[
  ""Museum"",
  ""Art museum""
]",Museum,https://www.sen-oku.or.jp/tokyo/,general,35.6650725,139.7410222,D
Ozaki Shirō Commemorative Museum of Literature,34.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://www.ota-bunka.or.jp/facilities/ozaki,general,35.5923404,139.7216592,E
Hatakeyama Memorial Museum of Fine Art,181.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.hatakeyama-museum.org/,art,35.632356,139.726872,D
Sato Sakura Museum,452.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.satosakura.jp/,art,35.64571,139.699975,D
Statistical Museum,29.0,"[
  ""Technology museum"",
  ""Science museum""
]",Technology museum,https://www.stat.go.jp/museum/index.html,stem,35.7001375,139.7153694,E
EMAUX MUSEUM,2.0,"[
  ""Art museum""
]",Art museum,http://emaux.jp/,art,35.6521513,139.7131537,E
Kume Museum of Art,34.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://www.kume-museum.com/,art,35.634623,139.71466999999998,E
Tako no Hakubutsukan (Kite Museum),23.0,"[
  ""Museum""
]",Museum,http://www.taimeiken.co.jp/museum.html,general,35.6844912,139.7751243,E
"Nakagawa Museum, Aoyama",5.0,"[
  ""Art museum""
]",Art museum,http://www.nga.co.jp/csr/,art,35.663495499999996,139.7125788,E
National Museum of Nature and Science,25487.0,"[
  ""Science museum"",
  ""Tourist attraction""
]",Science museum,https://www.kahaku.go.jp/,stem,35.7164273,139.7763336,A
Tokyo Metro Museum,3258.0,"[
  ""Rail museum"",
  ""Museum"",
  ""Tourist attraction""
]",Rail museum,http://www.chikahaku.jp/,history,35.6635668,139.8734375,B
Urayasu City Folk Museum,757.0,"[
  ""Local history museum"",
  ""Museum"",
  ""Tourist attraction""
]",Local history museum,https://assarikunn.wixsite.com/website,history,35.655239099999996,139.9010925,C
Urayasu Town Open-Air Museum,14.0,"[
  ""Museum""
]",Museum,http://www.city.urayasu.lg.jp/kanko/kyodo/josetsu/1002071.html,general,35.654940599999996,139.9010687,E
コースター美術館 - Coaster Museum -,,"[
  ""Museum""
]",Museum,https://www.coastermuseum.com/,general,35.6708953,139.90340279999998,E
Tobacco & Salt Museum,1840.0,"[
  ""Technology museum"",
  ""Museum"",
  ""Tourist attraction""
]",Technology museum,https://www.tabashio.jp/,stem,35.7057445,139.8085345,C
Daigo Fukuryumaru Museum,432.0,"[
  ""Heritage museum"",
  ""History museum"",
  ""Tourist attraction""
]",Heritage museum,http://d5f.org/,history,35.6509855,139.8263352,D
Shunkaen Bonsai Museum,646.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.kunio-kobayashi.com/,general,35.7026201,139.8881503,C
EA Museum,,"[
  ""Museum"",
  ""Art gallery""
]",Museum,,general,35.6687023,139.8556403,E
Tokyo Origami Museum,110.0,"[
  ""Museum"",
  ""Adult education school"",
  ""Gift shop"",
  ""Toy store""
]",Museum,http://www.origami-noa.jp/,general,35.704796699999996,139.7983724,D
Gokinimono Museum,3.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,,general,35.708185799999995,139.82642529999998,E
Postal Museum Japan,351.0,"[
  ""Heritage museum"",
  ""Tourist attraction""
]",Heritage museum,https://www.postalmuseum.jp/,history,35.710187399999995,139.8125818,D
Takashimaya Historical Museum TOKYO,76.0,"[
  ""Museum""
]",Museum,https://www.takashimaya.co.jp/shiryokan/tokyo/,general,35.6806452,139.7731335,D
Gyōtoku Mikoshi Museum,29.0,"[
  ""Handicraft museum""
]",Handicraft museum,http://www.mikoshiya.com/,specialty,35.689887899999995,139.92011549999998,E
Edo Hyogu Museum,7.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/edohyougumuseum.html,general,35.6895062,139.7979197,E
Museum of Paulownia,4.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,,general,35.692376599999996,139.79709,E
Kiki's Delivery Museum of Literature,92.0,"[
  ""Museum""
]",Museum,https://kikismuseum.jp/,general,35.6491999,139.88224689999998,D
The Ueno Royal Museum,5304.0,"[
  ""Art museum"",
  ""Modern art museum""
]",Art museum,https://www.ueno-mori.org/,art,35.7127355,139.7746843,A
Brake Museum,21.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://sasga.co.jp/brake_museum/,general,35.7240883,139.8111058,E
Tokyo Metropolitan Art Museum,14269.0,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",Art museum,https://www.tobikan.jp/,art,35.717211299999995,139.7729387,A
Ukita Museum,,"[
  ""Museum""
]",Museum,https://www.city.edogawa.tokyo.jp/documents/9203/8-02.pdf,general,35.6797653,139.8619871,E
Quark MUSEUM / クォーク ミュージアム - ロレックス ヴィンテージ コレクション,1.0,"[
  ""Museum""
]",Museum,http://www.quarkmuseum.com/jp/,general,35.707609,139.7752226,E
Museum of Roadside Art,41.0,"[
  ""Museum""
]",Museum,https://museum-of-roadside-art.com/,general,35.7173313,139.81061409999998,E
Little Museum of Glass Art Books,75.0,"[
  ""Museum"",
  ""Handicraft school"",
  ""Glassware store"",
  ""Store"",
  ""Tourist attraction""
]",Museum,https://chiisanaglass.jp/,general,35.708892399999996,139.8021081,D
Miura Kanzashi Mini-Museum,7.0,"[
  ""Museum""
]",Museum,https://www.instagram.com/kazari_kanzashi/,general,35.7078863,139.8029772,E
Tobu Museum,2281.0,"[
  ""Rail museum"",
  ""Museum"",
  ""Tourist attraction""
]",Rail museum,http://www.tobu.co.jp/museum/,history,35.7247828,139.81944679999998,B
"The University Museum, The University of Tokyo",379.0,"[
  ""Natural history museum"",
  ""Museum"",
  ""Science museum"",
  ""Tourist attraction""
]",Natural history museum,http://www.um.u-tokyo.ac.jp/index.html,history,35.7086052,139.7611939,D
Showanomori Museum,83.0,"[
  ""Museum""
]",Museum,https://www.matsudo-kankou.jp/sightseeing/showanomori/,general,35.7718178,139.9297595,D
Museum of Safes & Locks,5.0,"[
  ""Technology museum"",
  ""Tourist attraction""
]",Technology museum,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/kinnkotokagimuseum.html,stem,35.6891904,139.79737559999998,E
Samurai museum,2.0,"[
  ""Museum""
]",Museum,,general,35.7154813,139.7909173,E
Tokyo National Museum - The Gallery of Horyuji Treasures,800.0,"[
  ""National museum"",
  ""Museum"",
  ""Tourist attraction""
]",National museum,http://www.tnm.jp/modules/r_exhibition/index.php?controller=hall&hid=16&lang=ja,general,35.718621299999995,139.7742963,C
Tokyo Hydrogen Museum,162.0,"[
  ""Science museum""
]",Science museum,https://www.tokyo-suisomiru.jp/,stem,35.656557899999996,139.81146479999998,D
